video_id,title,channel,category_id,publish_time,tags,duration,view_count,like_count,comment_count,paid_ads,region
UrUgxl2fhOo,Abdou Gambetta ft Redouane Aroussi - Namchi Wngoul Ça va  قالب النهار باليل ( MUSIC VIDEO ) 2026,Abdou Gambetta ,22,2025-11-10T14:45:07Z,,PT4M32S,644964,32437,3189,False,DZ: Algeria
2W7z4SB8Vy8,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,24,2025-11-09T03:06:13Z,"skibidi toilet, skibidi toilet emergence, skibidi emergence, skibidi toilet new series, skibidi toilet 80, skibidi explained, skibidi lore, skibidi storyline, skibidi arc, skibidi war, cameraman, tv woman, speakerman, secret agent, watchman of doom, astro toilet, astros vs alliance, alliance vs astros, Dafuqboom, unreal engine animation, skibidi universe, skibidee toilet, Skebedee, toilet skibidi, brainrot, emergence trailer, skibidi trailer, teaser, skibidi spoiler",PT51S,2508867,146231,24234,False,DZ: Algeria
LHk4LYspbjA,هذا الشخص حصل على الاكواد بسهولة !!,SA7RAWI,20,2025-11-10T15:30:22Z,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",PT9M19S,122900,12123,1033,False,DZ: Algeria
W3wZii0r9Vk,شراب اللي شربتوا ويلي ويلي ويلاه يمه,STUDIO LHWIDI - Topic,10,2025-11-05T04:15:19Z,"STUDIO LHWIDI, شراب اللي شربتوا ويلي ويلي ويلاه يمه",PT6M23S,519172,1633,19,False,DZ: Algeria
gpvjf6qVl5c,Dream League Soccer 2026 | OFFICIAL TEASER TRAILER,firsttouchgames,20,2025-11-07T16:00:07Z,,PT27S,255938,13507,2079,False,DZ: Algeria
tSOqGrRwNng,النجاة في البحر | 17# | Raft.,DLT,22,2025-11-10T16:28:34Z,,PT52M1S,32645,3421,593,False,DZ: Algeria
Dt5XHMZStPI,Cheb Simou 2025 «Rani Mpardi Rani Mwader - راني مباري راني مودر» ft. Raouf Samourai (Clip Officiel),Raouf Samorai,10,2025-11-09T15:00:06Z,,PT4M11S,95722,3039,72,False,DZ: Algeria
9_t9YjwdInM,اشترينا اقوى حساب في اللعبه 😱🔥(راس براس),ZAIN YT,20,2025-11-10T10:59:49Z,"فري فاير, ابو فله, زين, زين فري فاير, ناجي القاق, abo falah, zain yt, free fire, gamer, games, freefire, العالب, مقاطع جلد, مقالب, مقلب النوب, تيك توك, تيكتوك فري فاير, tik, tiktok, tiktok free fire, كرة القدم, علي عمر, ali omar, فريفاير, تقييم, العاب جلد, العاب اطفال, العاب كبار, مكس, ضحى, مكس وضحى, عبسي, عبسي ومكس, ابو سروال, جلد ببجي, مقلب ببجي, نشر العاب, بث فري فاير",PT19M49S,142495,19856,748,False,DZ: Algeria
z_hQx1iMJPg,La mass le vrai - Laghram (Official Music Video) | الغرام,La mass le vrai ,10,2025-11-09T16:04:46Z,"La mass le vrai, Laghram, الغرام, BANDIT, Ya Denya, يا دنيا, OMG, la mass, massita, diss track, klack, reaction, jersey drill, dz drill, uk drill, Beats, Uranis, algeria, hip hop, rap, algerian rap, algerian hip hop, algerian, algeria tour, Mafia, Luna, 5G, Khabta, Dinero, Rayen Youssef, Cheminee D'enfer, Kanet Bayna, Purgatory, magnifique, Supernova, kazaki, hesy ya, saygi, eazy, deep hors son, mass inch time, mass squid game, AC MILAN, TERMINUS, GOAT, GODZILLA, Chabaka",PT3M45S,78278,6745,623,False,DZ: Algeria
kxefBqYUbpk,Long Slide Game with Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Beast Animal 4D,22,2025-11-10T11:57:39Z,,PT6M26S,1618278,130820,5312,False,DZ: Algeria
